Topic,Words,Frequency,Timestamp,Name
161,"enlisted, speak, he, senator, perosino",17,2022-03-01 18:40:00,161_enlisted_speak_he_senator
162,"permit, job, licenses, employment, humanitarian",8,2022-03-01 18:40:00,162_permit_employment_job_patent
163,"colleagues, earphones, silence, voice, gracefully",11,2022-03-01 18:40:00,163_colleagues_silence_voice_volume
164,"challenge, challenges, appropriately, challenging, tools",10,2022-03-01 18:40:00,164_challenges_challenge_challenging_fac...
165,"enlisted, speak, senator, arrigoni, gasparri",21,2022-03-01 18:40:00,165_enlisted_speak_senator_arrigoni
166,"rules, rule, purpose, regulations, follow",23,2022-03-01 18:40:00,166_rules_rule_regulations_purpose
167,"africa, nigeria, ethiopia, sudan, yemen",13,2022-03-01 18:40:00,167_nigeria_africa_niger_city
168,"session, meet, agenda, following, wednesday",13,2022-03-01 18:40:00,168_session_agenda_meet_following
169,"help, disease, spoon, knife, weakest",18,2022-03-01 18:40:00,169_help_spoon_knife_compassion
170,"women, gender, men, innovation, variable",15,2022-03-01 18:40:00,170_women_men_gender_sexes
171,"81, 5th, contrary, roll, requested",18,2022-03-01 18:40:00,171_81_5th_contrary_roll
172,"architectural, roman, testimony, grandeur, magnificence",4,2022-03-01 18:40:00,172_parma_regio_teatro_verdi
173,"agree, senator, what, multiethnic, with",22,2022-03-01 18:40:00,173_agree_senator_completely_what
174,"better, do, berchidda, doing, pistoia",23,2022-03-01 18:40:00,174_better_do_we_need
175,"roll, call, simultaneous, tabled, refer",5,2022-03-01 18:40:00,175_roll_tabled_simultaneous_call
177,"pope, francis, action, today, assisi",1,2022-03-01 18:40:00,177_francis_assisi_st_saint
178,"mediation, proudly, values, consciously, beauties",9,2022-03-01 18:40:00,178_solidarity_mediation_cohesion_togeth...
179,"council, president, office, members, chairmanship",21,2022-03-01 18:40:00,179_council_office_president_adjective
180,"commission, contemporanator, worked, lowest, contentious",19,2022-03-01 18:40:00,180_commission_stress_constructive_agree...
181,"cost, costs, transmitter, money, sledgehammer",17,2022-03-01 18:40:00,181_cost_expensive_costs_gonna
182,"frame, plan, tightening, separately, complete",6,2022-03-01 18:40:00,182_frame_plan_stage_fourth
183,"closed, sitting, agenda, 18, closing",11,2022-03-01 18:40:00,183_closed_sitting_agenda_see
184,"organic, farming, agriculture, farm, production",35,2022-03-01 18:40:00,184_organic_farming_fork_farm
185,"mafia, appetites, stress, illicit, organised",5,2022-03-01 18:40:00,185_mafia_foggia_anti_mafias
186,"rapporteur, call, senator, cioffi, damiani",17,2022-03-01 18:40:00,186_rapporteur_call_senator_alfonso
187,"documents, forwarded, questions, 34, motions",10,2022-03-01 18:40:00,187_documents_forwarded_questions_34
188,"presidency, note, authorizes, takes, authorise",20,2022-03-01 18:40:00,188_presidency_authorizes_authorise_note
189,"uncertainty, solution, solutions, solved, guessing",12,2022-03-01 18:40:00,189_uncertainty_solutions_solved_solutio...
190,"absent, assignment, communications, leave, published",10,2022-03-01 18:40:00,190_absent_assignment_communications_lea...
191,"pass, green, super, strengthened, vaccination",24,2022-03-01 18:40:00,191_pass_green_super_strengthened
192,"billion, remembers, paintings, millions, 2035",11,2022-03-01 18:40:00,192_billion_millions_100_hundreds
193,"against, uguali, abstain, reasons, voting",7,2022-03-01 18:40:00,193_abstain_against_abstention_vote
194,"nvidia, companies, company, unable, chips",9,2022-03-01 18:40:00,194_companies_company_epidemic_covid
195,"approve, annex, doesn, followed, senate",7,2022-03-01 18:40:00,195_approve_annex_doesn_followed
196,"matteotti, bartali, politica, proposta, deserves",6,2022-03-01 18:40:00,196_matteotti_giacomo_socialist_1924
197,"corruption, corrupt, transparency, grandfather, anxious",3,2022-03-01 18:40:00,197_corruption_bribes_bribe_bribery
198,"way, supposed, happening, doesn, sucks",27,2022-03-01 18:40:00,198_way_supposed_happens_happening
199,"plan, operation, plans, ambitious, epoch",20,2022-03-01 18:40:00,199_plan_plans_operation_fashioned
200,"g1, accepted, agenda, having, text",10,2022-03-01 18:40:00,200_accepted_agenda_g9_having
201,"money, smoketown, patting, funds, helicopters",21,2022-03-01 18:40:00,201_money_funds_spent_guns
202,"romana, gasperi, maria, de, alcide",46,2022-03-01 18:40:00,202_romana_maria_gasperi_de
203,"trapani, transmitted, giovanardi, antimafia, rome",7,2022-03-01 18:40:00,203_giovanardi_renzi_68_giarrusso
204,"wood, land, shallow, cretic, rushing",14,2022-03-01 18:40:00,204_wood_land_shallow_forestry
205,"arch, trajan, benevento, traiano, monument",68,2022-03-01 18:40:00,205_arch_trajan_benevento_traiano
206,"quarter, gas, credit, incurred, electricity",19,2022-03-01 18:40:00,206_quarter_credit_gas_incurred
207,"roll, simultaneous, tabled, refer, commissions",7,2022-03-01 18:40:00,207_roll_simultaneous_tabled_refer
208,"reykjavík, city, reykjavíkurburg, move, capital",15,2022-03-01 18:40:00,208_reykjavík_city_airport_capital
209,"policy, develop, ruined, strategy, gold",10,2022-03-01 18:40:00,209_policy_policies_plan_miss
210,"recommend, hereby, legalize, correct, laws",9,2022-03-01 18:40:00,210_recommend_hereby_legalize_correct
211,"blood, transfusion, transfusions, donate, thalassemics",5,2022-03-01 18:40:00,211_blood_transfusion_transfusions_donat...
212,"billion, estimated, million, 185, 400",14,2022-03-01 18:40:00,212_billion_estimated_million_cost
213,"science, experts, biological, nested, tendentious",8,2022-03-01 18:40:00,213_science_scientists_scientific_expert...
214,"oral, carry, requested, authorisation, rapporteur",9,2022-03-01 18:40:00,214_oral_carry_authorisation_requested
215,"language, languages, fourfold, geologic, worlds",12,2022-03-01 18:40:00,215_language_languages_english_linguists
216,"accepted, comments, request, made, were",9,2022-03-01 18:40:00,216_accepted_comments_request_made
217,"amendment, proceed, shall, reworded, 37",3,2022-03-01 18:40:00,217_proceed_shall_amendment_vote
218,"crisis, recession, economic, penalise, midst",9,2022-03-01 18:40:00,218_crisis_economic_crises_economy
219,"explain, minutes, three, question, falco",9,2022-03-01 18:40:00,219_explain_minutes_three_question
220,"amendment, amendments, rejected, tabled, salivary",11,2022-03-01 18:40:00,220_amendment_amendments_rejected_tabled
221,"rapporteur, agenda, representative, comment, rapporteurs",9,2022-03-01 18:40:00,221_rapporteur_representative_comment_ag...
222,"rosary, pagans, back, andrés, members",3,2022-03-01 18:40:00,222_rosary_back_me_put
223,"approve, annex, doesn, followed, senate",5,2022-03-01 18:40:00,223_approve_annex_doesn_followed
224,"nuclear, weapons, npt, disarmament, powers",29,2022-03-01 18:40:00,224_nuclear_weapons_npt_disarmament
225,"reality, cartoon, situation, imagination, face",17,2022-03-01 18:40:00,225_reality_fantasy_situation_face
226,"ciriani, split, requested, balboni, ballot",1,2022-03-01 18:40:00,226_balboni_ciriani_ballot_simultaneous
227,"synonym, proposed, consenting, contraception, apheresis",14,2022-03-01 18:40:00,227_synonym_proposed_form_proposal
228,"rule, 31, roll, simultaneous, refer",3,2022-03-01 18:40:00,228_rule_roll_simultaneous_refer
229,"81, 5th, contrary, requested, tabled",4,2022-03-01 18:40:00,229_81_5th_contrary_requested
230,"organic, pantelleria, agri, italian, italy",36,2022-03-01 18:40:00,230_organic_agri_pantelleria_italy
231,"easy, simple, digging, lacked, inexpensive",13,2022-03-01 18:40:00,231_easy_simple_stress_reconstruction
232,"invitation, successful, invitations, proponents, postwar",18,2022-03-01 18:40:00,232_invitation_successful_invitations_cl...
233,"sanctions, russia, against, insist, oligarchs",16,2022-03-01 18:40:00,233_sanctions_russia_oligarchs_against
234,"disasters, earthquake, shock, symmetric, irpinia",6,2022-03-01 18:40:00,234_disasters_natural_disaster_earthquak...
235,"presidents, proceedings, 55, schedule, vice",12,2022-03-01 18:40:00,235_presidents_proceedings_55_vice
236,"ttf, gas, price, futures, dutch",21,2022-03-01 18:40:00,236_gas_ttf_price_dutch
237,"267, organists, million, locations, 58",9,2022-03-01 18:40:00,237_000_no_2018_number
238,"apartments, reykjavík, housing, apartment, prices",41,2022-03-01 18:40:00,238_reykjavík_apartments_housing_apartme...
239,"example, explanation, guesswork, frank, examples",10,2022-03-01 18:40:00,239_examples_example_explanation_give
240,"record, thank, senator, answer, touchy",20,2022-03-01 18:40:00,240_thank_record_senator_answer
241,"pursuant, 113, rule, procedure, accepted",9,2022-03-01 18:40:00,241_pursuant_113_accepted_procedure
242,"retabled, understands, accepts, competition, draft",1,2022-03-01 18:40:00,242_competition_draft_law_pnrr
243,"ters, rearrange, cc, leaked, rationalise",6,2022-03-01 18:40:00,243_changes_change_simplification_order
244,"freedom, tomovedoutthesubject, thoughtlessness, freedoms, enjoy",15,2022-03-01 18:40:00,244_freedom_free_freedoms_obstacle
245,"priorities, priority, primacy, risky, set",16,2022-03-01 18:40:00,245_priorities_priority_stress_setting
246,"ministers, minister, answer, industrial, culture",16,2022-03-01 18:40:00,246_ministers_minister_prime_answer
248,"foreigners, míla, repugnant, migratory, laws",3,2022-03-01 18:40:00,248_foreigners_immigrants_alien_laws
249,"armed, forces, rearming, mortifying, capabilities",6,2022-03-01 18:40:00,249_armed_forces_military_tasks
251,"speech, my, second, talk, points",14,2022-03-01 18:40:00,251_speech_my_second_talk
252,"children, sturdles, interests, heed, child",8,2022-03-01 18:40:00,252_children_child_interests_kids
253,"dissent, explanation, speak, group, ask",11,2022-03-01 18:40:00,253_dissent_explanation_group_speak
254,"floor, note, give, take, you",11,2022-03-01 18:40:00,254_floor_note_give_take
255,"mental, garðatown, breiðholti, distressing, psychological",3,2022-03-01 18:40:00,255_mental_hospital_health_iceland
256,"interceptions, siri, conversations, random, interception",27,2022-03-01 18:40:00,256_interceptions_siri_seizure_intercept...
257,"2nd, suggest, referred, business, andwhat",11,2022-03-01 18:40:00,257_2nd_suggest_referred_business
258,"film, covid, eistar, movie, parade",5,2022-03-01 18:40:00,258_film_filmmaking_movie_industry
259,"innovation, resourceful, orient, technology, invent",11,2022-03-01 18:40:00,259_innovation_technology_solutions_rese...
260,"letter, written, request, query, þórsdóttir",18,2022-03-01 18:40:00,260_letter_written_request_received
261,"milk, meat, dairy, livestock, products",7,2022-03-01 18:40:00,261_milk_meat_industry_dairy
262,"song, songs, lyrics, mellow, beat",12,2022-03-01 18:40:00,262_song_mellow_songs_lyrics
263,"negotiations, agreement, bgret, beehive, dump",9,2022-03-01 18:40:00,263_agreement_negotiations_conditions_ag...
265,"text, amendment, favour, 3000, reword",5,2022-03-01 18:40:00,265_text_favour_amendment_am
266,"privileges, debt, paying, reduce, could",2,2022-03-01 18:40:00,266_debt_2026_collection_stop
267,"minutes, sitting, secretary, read, giro",8,2022-03-01 18:40:00,267_minutes_sitting_secretary_giro
268,"dental, teeth, dentists, children, treatment",45,2022-03-01 18:40:00,268_dental_teeth_dentists_children
269,"flavors, flavor, taste, fruit, candy",50,2022-03-01 18:40:00,269_flavors_flavor_taste_fruit
270,"red, cross, hornbeam, spokesmen, shoot",4,2022-03-01 18:40:00,270_red_cross_contract_hornbeam
271,"nullifying, oblige, affiliated, pilots, no",13,2022-03-01 18:40:00,271_no_requirement_foreboding_kaläl
272,"cyp3a4, dosing, contra, inhibition, iter",5,2022-03-01 18:40:00,272_bioavailability_cyp3a4_medicinal_pha...
273,"young, girl, dancer, youths, vocabulary",9,2022-03-01 18:40:00,273_young_youths_youth_people
274,"mind, banism, keep, bear, ponder",13,2022-03-01 18:40:00,274_keep_mind_eye_impulsive
275,"rapporteur, call, therefore, knows, activity",6,2022-03-01 18:40:00,275_rapporteur_call_therefore_rojc
276,"caizzone, antitrust, prosecutor, federconsumeri, gatti",4,2022-03-01 18:40:00,276_prosecutor_magistrates_court_rome
277,"list, lists, information, inquire, he",17,2022-03-01 18:40:00,277_list_lists_he_information
278,"rapporteur, agree, mr, president, with",1,2022-03-01 18:40:00,278_rapporteur_agree_mr_president
279,"immediately, action, quickly, act, immediate",17,2022-03-01 18:40:00,279_immediately_action_immediate_quickly
280,"currency, euro, placid, stable, stampa",16,2022-03-01 18:40:00,280_currency_euro_dollar_swinging
282,"desegretate, marilotti, denounced, undoubtedly, execution",1,2022-03-01 18:40:00,282_procedure_rules_reform_constitutiona...
284,"covid, epidemic, virus, disease, iceland",16,2022-03-01 18:40:00,284_covid_epidemic_virus_disease
285,"mg, uh, par, 000, frequency",15,2022-03-01 18:40:00,285_mg_uh_par_1st
286,"disease, prevention, functioned, enforcement, selfishly",15,2022-03-01 18:40:00,286_disease_prevention_focusing_prevent
287,"projects, project, expedition, procrastination, started",6,2022-03-01 18:40:00,287_project_projects_started_seaguard
288,"group, groups, ide, helgaóttir, writers",17,2022-03-01 18:40:00,288_group_groups_stress_root
289,"important, reconsider, fundamental, think, depth",12,2022-03-01 18:40:00,289_important_think_fundamental_picture
290,"explanation, speak, ask, vote, you",9,2022-03-01 18:40:00,290_explanation_speak_ask_vote
291,"waste, reused, historic, facilities, perspective",2,2022-03-01 18:40:00,291_waste_disposal_recycling_garbage
292,"possession, property, ownership, distribution, frequency",19,2022-03-01 18:40:00,292_possession_property_ownership_distri...
293,"sitting, 113, star, electronic, inform",7,2022-03-01 18:40:00,293_sitting_113_star_electronic
297,"worried, worry, realize, unknown, behind",9,2022-03-01 18:40:00,297_worried_worry_mine_problem
298,"icelandic, reading, schools, hobbies, children",4,2022-03-01 18:40:00,298_icelandic_education_children_school
299,"writing, item, tomorrow, covid, document",9,2022-03-01 18:40:00,299_item_tomorrow_document_decree
300,"ferry, grima, sail, ship, dalíkík",8,2022-03-01 18:40:00,300_ferry_cruises_bought_passengers
301,"answer, thank, much, very, minister",12,2022-03-01 18:40:00,301_answer_thank_much_very
302,"case, finish, knot, provoking, consulting",14,2022-03-01 18:40:00,302_case_finish_gonna_finished
303,"welfare, 1960, conducting, odds, popular",4,2022-03-01 18:40:00,303_welfare_jobseekers_systems_system
304,"explanation, speak, ask, vote, you",1,2022-03-01 18:40:00,304_explanation_speak_ask_vote
305,"policy, defence, foreign, empires, common",17,2022-03-01 18:40:00,305_policy_defence_foreign_common
306,"gdp, growth, below, typically, percent",4,2022-03-01 18:40:00,306_gdp_growth_percent_nadef
307,"excluded, amendments, remaining, amendment, therefore",8,2022-03-01 18:40:00,307_excluded_remaining_amendment_amendme...
308,"nations, nation, defenses, sovereign, treaties",13,2022-03-01 18:40:00,308_nations_international_reactor_nation
309,"spending, military, defence, billion, expenditure",29,2022-03-01 18:40:00,309_spending_military_defence_billion
310,"junta, implausible, configuration, occasional, 2018",2,2022-03-01 18:40:00,310_junta_juntas_configuration_parajuris...
311,"denmark, danish, comparable, model, arrangements",4,2022-03-01 18:40:00,311_denmark_danish_refuge_prime
312,"inquiry, thank, senator, you, related",10,2022-03-01 18:40:00,312_inquiry_thank_senator_you
313,"approve, annex, doesn, followed, senate",3,2022-03-01 18:40:00,313_approve_annex_doesn_followed
314,"serious, underscore, gravely, innocence, seriousness",7,2022-03-01 18:40:00,314_serious_disinformers_seriousness_ser...
315,"democratic, favour, reasons, party, announce",4,2022-03-01 18:40:00,315_democratic_favour_party_announce
316,"island, islands, western, grimites, sea",11,2022-03-01 18:40:00,316_islands_island_western_beer
317,"rights, scare, endure, enjoy, encouraging",11,2022-03-01 18:40:00,317_rights_enjoy_marchionne_šk
318,"covid, vaccination, vaccinated, vaccines, italians",16,2022-03-01 18:40:00,318_covid_vaccination_vaccinated_vaccine...
319,"institute, foreign, applications, noncommunications, homepage",14,2022-03-01 18:40:00,319_institute_foreign_applications_homep...
320,"chats, name, neythal, telegram, names",13,2022-03-01 18:40:00,320_weren_names_name_chats
321,"employees, staff, voting, hospital, representatives",36,2022-03-01 18:40:00,321_employees_staff_voting_representativ...
322,"service, debater, services, class, arguing",7,2022-03-01 18:40:00,322_service_services_basic_user
323,"turnover, expenses, brim, billion, 142",7,2022-03-01 18:40:00,323_expenses_increase_increased_turnover
324,"covenant, covenants, preeminents, vague, government",11,2022-03-01 18:40:00,324_covenant_covenants_government_harmon...
325,"energy, price, gas, prices, rises",20,2022-03-01 18:40:00,325_energy_prices_price_gas
326,"transparency, folding, cousinry, transparent, 155",7,2022-03-01 18:40:00,326_transparency_transparent_155_epidemi...
327,"approve, doesn, annex, followed, senate",7,2022-03-01 18:40:00,327_approve_doesn_annex_followed
328,"hunting, hunt, raising, idiotic, costs",12,2022-03-01 18:40:00,328_hunting_hunt_costs_raising
329,"am, remaining, amendments, opposed, against",2,2022-03-01 18:40:00,329_am_against_amendments_mr
330,"explanation, speak, ask, vote, you",3,2022-03-01 18:40:00,330_explanation_speak_ask_vote
331,"family, oriented, divide, unit, friendly",3,2022-03-01 18:40:00,331_family_fundamental_roles_debased
332,"generals, institute, application, applications, civil",6,2022-03-01 18:40:00,332_institute_generals_applications_citi...
333,"joy, photograph, belittle, job, satisfaction",5,2022-03-01 18:40:00,333_happy_joy_celebrate_celebrating
334,"amended, simultaneous, ballot, 120, refer",4,2022-03-01 18:40:00,334_amended_simultaneous_120_refer
336,"teller, fortune, first, predictions, nostradamus",1,2022-03-01 18:40:00,336_predictions_nostradamus_future_predi...
337,"reply, lamorgese, minutes, interior, three",7,2022-03-01 18:40:00,337_reply_minutes_lamorgese_three
338,"report, appended, caliguri, nite, annexed",6,2022-03-01 18:40:00,338_report_permission_written_text
339,"opinion, rapporteur, line, mr, president",1,2022-03-01 18:40:00,339_rapporteur_opinion_assent_rapporteur...
340,"roll, ballot, simultaneous, refer, call",6,2022-03-01 18:40:00,340_roll_ballot_simultaneous_refer
341,"covid, 19, decree, epidemic, issued",8,2022-03-01 18:40:00,341_covid_epidemic_19_decree
342,"split, proceed, shall, vote, dissenting",6,2022-03-01 18:40:00,342_proceed_shall_split_vote
343,"toughest, thank, punctually, certificates, esteem",5,2022-03-01 18:40:00,343_thank_colleagues_thanks_sincere
344,"haven, impact, accessing, moratorium, profiles",4,2022-03-01 18:40:00,344_impact_expected_affect_bill
345,"personal, protection, oppress, surveillance, protected",10,2022-03-01 18:40:00,345_protection_surveillance_personal_pro...
346,"vat, energetic, equipment, extraject, extrajective",7,2022-03-01 18:40:00,346_vat_necessities_invoice_matches
347,"approve, annex, doesn, followed, senate",2,2022-03-01 18:40:00,347_approve_annex_doesn_followed
348,"movie, comprehensive, picture, media, icelandic",1,2022-03-01 18:40:00,348_film_filmmaking_icelandic_movie
349,"item, draft, debate, next, drawing",10,2022-03-01 18:40:00,349_item_draft_debate_next
350,"conference, councilmen, board, president, respect",23,2022-03-01 18:40:00,350_conference_councilmen_board_reminds
351,"zanda, zaffini, floor, enlisted, nugnes",9,2022-03-01 18:40:00,351_floor_zanda_zaffini_nugnes
352,"north, northern, countries, polish, entrance",13,2022-03-01 18:40:00,352_north_northern_countries_experience
353,"data, subtracts, pits, database, pulling",8,2022-03-01 18:40:00,353_data_database_subtracts_hospital
354,"excise, duties, vat, mobile, duty",15,2022-03-01 18:40:00,354_excise_duties_fuels_vat
355,"excluding, explanations, distribution, hours, 2505",7,2022-03-01 18:40:00,355_excluding_explanations_distribution_...
356,"monographs, enforcing, laboratory, versa, rare",6,2022-03-01 18:40:00,356_work_unorthodox_environment_assistan...
357,"sized, enterprises, medium, small, micro",8,2022-03-01 18:40:00,357_sized_enterprises_medium_small
358,"explanation, speak, ask, vote, you",3,2022-03-01 18:40:00,358_explanation_speak_ask_vote
359,"loads, monitors, income, diagnostic, young",4,2022-03-01 18:40:00,359_income_loss_loads_month
360,"frozen, college, financing, stopped, model",1,2022-03-01 18:40:00,360_student_loan_students_scholarship
361,"gotten, liked, hadn, introducing, milan",7,2022-03-01 18:40:00,361_liked_would_gotten_postamism
362,"permission, says, president, hf, vodafone",9,2022-03-01 18:40:00,362_permission_says_president_by
363,"councilmen, blinky, leader, thank, molding",8,2022-03-01 18:40:00,363_councilmen_thank_discussion_council
364,"approve, annex, doesn, followed, senate",4,2022-03-01 18:40:00,364_approve_annex_doesn_followed
365,"poverty, refusing, poor, soloist, hungry",9,2022-03-01 18:40:00,365_poverty_poor_poorer_refusing
366,"railway, targa, florio, doubling, scarred",3,2022-03-01 18:40:00,366_mezzogiorno_railway_jubilee_rome
367,"000, bucks, month, 900, 450",5,2022-03-01 18:40:00,367_000_bucks_month_pay
368,"nature, guard, duty, generations, planet",4,2022-03-01 18:40:00,368_nature_generations_protection_genera...
369,"speech, thank, senator, you, interrupt",17,2022-03-01 18:40:00,369_speech_thank_senator_you
370,"credit, loans, creditors, loan, lend",19,2022-03-01 18:40:00,370_credit_loans_agent_creditors
371,"warrant, frequency, ad, miniurdour, permit",8,2022-03-01 18:40:00,371_warrant_frequency_permit_canceled
372,"timetable, leaders, conference, approved, until",5,2022-03-01 18:40:00,372_leaders_conference_timetable_convene...
373,"investigating, tests, study, regularly, suggest",1,2022-03-01 18:40:00,373_test_tests_students_consistent
374,"bathing, concessions, sexless, swimming, locations",2,2022-03-01 18:40:00,374_bathing_concessions_bolkestein_direc...
375,"staff, shepherds, dining, oer, copenhagen",7,2022-03-01 18:40:00,375_staff_lack_shortage_specialized
376,"fire, trap, pains, hellish, oath",5,2022-03-01 18:40:00,376_geological_fire_sheets_mapping
377,"conversion, replacing, 9000, approval, entirely",8,2022-03-01 18:40:00,377_conversion_posed_approval_trust
378,"talking, re, what, about, making",7,2022-03-01 18:40:00,378_talking_re_what_about
379,"borist, letter, near, smoke, received",12,2022-03-01 18:40:00,379_borist_letter_smoke_near
382,"memories, stored, active, forget, anniversary",4,2022-03-01 18:40:00,382_forget_remember_memory_forgotten
383,"roll, motion, ballot, resolution, simultaneous",6,2022-03-01 18:40:00,383_roll_ballot_simultaneous_tabled
384,"roll, ballot, simultaneous, rule, refer",3,2022-03-01 18:40:00,384_roll_ballot_simultaneous_rule
385,"sardo, azione, salvini, premier, partito",5,2022-03-01 18:40:00,385_premier_salvini_sardo_azione
386,"roll, ballot, simultaneous, 21, rule",1,2022-03-01 18:40:00,386_roll_ballot_simultaneous_rule
387,"ban, bans, banned, thursdays, restricted",18,2022-03-01 18:40:00,387_ban_bans_banned_restricted
388,"bertoldi, enlisted, de, speak, mollame",7,2022-03-01 18:40:00,388_bertoldi_de_enlisted_speak
389,"rulers, power, torn, unlimited, grip",9,2022-03-01 18:40:00,389_power_rulers_corrupts_torn
390,"tries, play, majority, part, agenda",1,2022-03-01 18:40:00,390_majority_eighteen_born_hemicycle
391,"dates, march, 22rd, december, date",10,2022-03-01 18:40:00,391_march_dates_date_etrs
392,"suggestions, vega, complaining, installation, crossed",8,2022-03-01 18:40:00,392_suggestions_suggestion_proposal_öse
393,"approve, annex, doesn, followed, senate",6,2022-03-01 18:40:00,393_approve_annex_doesn_followed
394,"opened, sitting, 16, 33, 35",5,2022-03-01 18:40:00,394_opened_sitting_16_35
395,"open, sitting, 01, 32, 31",5,2022-03-01 18:40:00,395_sitting_open_31_32
396,"biodynamic, biodynamics, biological, equivalence, organic",33,2022-03-01 18:40:00,396_biodynamic_biodynamics_biological_or...
397,"fractures, fracture, suspected, 219, month",6,2022-03-01 18:40:00,397_fracture_fractures_suspected_severit...
398,"doctors, doctor, patients, hospital, patient",18,2022-03-01 18:40:00,398_doctor_doctors_patient_patients
400,"approve, annex, doesn, followed, senate",1,2022-03-01 18:40:00,400_approve_annex_doesn_followed
401,"afghan, women, afghanistan, relay, promoted",5,2022-03-01 18:40:00,401_afghan_women_afghanistan_taliban
402,"media, artists, icelandic, impairs, freedom",20,2022-03-01 18:40:00,402_media_artists_icelandic_art
403,"sleepless, stopped, hitler, nights, would",6,2022-03-01 18:40:00,403_liked_would_crisp_improvement
404,"quickly, timely, speed, jumping, farther",8,2022-03-01 18:40:00,404_quickly_speed_fast_faster
405,"citizenship, dissipating, unproductive, income, subsidies",1,2022-03-01 18:40:00,405_citizenship_income_demagogy_poverty
406,"kingdom, demons, injuring, renaissance, arabia",9,2022-03-01 18:40:00,406_kingdom_treasure_commune_contended
409,"articles, article, blink, consists, journal",12,2022-03-01 18:40:00,409_articles_consists_article_chapters
410,"jakobsdóttir, katrín, daughter, decade, catherine",7,2022-03-01 18:40:00,410_jakobsdóttir_katrín_daughter_governm...
411,"tabling, amendments, deadline, 2330, relation",7,2022-03-01 18:40:00,411_tabling_amendments_deadline_relation
413,"2022, families2023, 22s, schedule, july",8,2022-03-01 18:40:00,413_2026_2022_completed_schedule
414,"registered, she, cantù, speak, testor",6,2022-03-01 18:40:00,414_registered_she_speak_cantù
415,"fiber, optics, optic, opticization, iasak",6,2022-03-01 18:40:00,415_fiber_optics_optic_opticization
416,"ecological, transition, fashionable, accelerate, certified",7,2022-03-01 18:40:00,416_ecological_transition_climate_sustai...
417,"step, epochs, downs, soldiers, right",8,2022-03-01 18:40:00,417_step_bit_epochs_forward
418,"festival, blues, pistoia, music, jazz",33,2022-03-01 18:40:00,418_festival_blues_pistoia_music
419,"approve, annex, doesn, followed, senate",3,2022-03-01 18:40:00,419_approve_annex_doesn_followed
420,"approve, annex, doesn, followed, senate",3,2022-03-01 18:40:00,420_approve_annex_doesn_followed
421,"totheencourage, treaty, enjoyed, pleasure, hearing",2,2022-03-01 18:40:00,421_treaty_treaties_puts_signing
422,"representative, intend, speak, understudys, intention",7,2022-03-01 18:40:00,422_intend_speak_representative_members
423,"item, deputies, draft, approved, 2542",2,2022-03-01 18:40:00,423_item_deputies_draft_approved
424,"grey, areas, reduce, present, gray",1,2022-03-01 18:40:00,424_gray_areas_grey_qualify
425,"hate, hatred, crime, minorities, speech",5,2022-03-01 18:40:00,425_hatred_hate_speech_expression
426,"yeh, 666, congratulations, eager, bill",4,2022-03-01 18:40:00,426_thank_bill_much_minister
427,"answer, thank, roughly, senator, unsurpassed",8,2022-03-01 18:40:00,427_answer_thank_senator_you
428,"000, loan, lends, 60, unfavourable",2,2022-03-01 18:40:00,428_loan_million_loans_payments
429,"antipsychotics, antipsychotic, medicinal, drugs, antidepressants",16,2022-03-01 18:40:00,429_antipsychotics_antipsychotic_drugs_m...
430,"personal, protection, evaluation, conclusions, hence",3,2022-03-01 18:40:00,430_personal_protection_assessment_peron...
431,"wood, 290, perfunctory, mountains, highest",4,2022-03-01 18:40:00,431_wood_apology_highest_apologized
432,"gardening, school, southland, university, smoke",12,2022-03-01 18:40:00,432_gardening_school_university_southlan...
433,"environment, worst, charter, changing, poorest",6,2022-03-01 18:40:00,433_environment_charter_cared_environmen...
434,"recovery, resilience, plan, combines, capacity",5,2022-03-01 18:40:00,434_resilience_recovery_plan_national
435,"enlisted, speak, carlo, pesco, pepe",7,2022-03-01 18:40:00,435_enlisted_carlo_speak_pesco
436,"approve, annex, doesn, followed, senate",3,2022-03-01 18:40:00,436_approve_annex_doesn_followed
437,"nominal, ballot, simultaneous, refer, whole",3,2022-03-01 18:40:00,437_nominal_ballot_simultaneous_refer
438,"answers, thank, much, very, minister",9,2022-03-01 18:40:00,438_answers_thank_much_very
439,"landowners, land, earths, accounted, heirs",7,2022-03-01 18:40:00,439_landowners_land_grid_reapers
440,"hurts, forum, organisation, trade, intervene",1,2022-03-01 18:40:00,440_funds_regulation_operators_investmen...
441,"signed, constitution, investigated, pledge, commitment",11,2022-03-01 18:40:00,441_signed_constitution_investigated_ple...
442,"crimes, hague, yugoslavia, crime, international",3,2022-03-01 18:40:00,442_crimes_criminal_international_court
443,"monitoring, quality, control, cheat, assured",5,2022-03-01 18:40:00,443_quality_monitoring_flexibility_contr...
444,"draghi, sworn, elective, italy, luck",3,2022-03-01 18:40:00,444_draghi_italy_president_voice
445,"ndc, nc, misto, iac, lonardo",5,2022-03-01 18:40:00,445_misto_nc_ndc_iac
446,"complicated, nothing, than, complex, simple",9,2022-03-01 18:40:00,446_complicated_nothing_than_simple
447,"covers, voters, elections, roll, ballot",1,2022-03-01 18:40:00,447_roll_ballot_simultaneous_rule
448,"waiting, 326, 738, behavioral, hundred",4,2022-03-01 18:40:00,448_adhd_waiting_children_behavioral
