Topic,Count,Name,Representation,Representative_Docs
130,115,130_system_systems_defective_wrong,"['system', 'systems', 'defective', 'wrong', 'doesn', 'designed', 'faulty', 'hopeless', 'monster', 'seem']","['But that is how the system is made.', ""What's happened with the saying system is that there's a system that's come up with some kind of system that's about to defend the system."", 'This is what we have to do with our system.']"
131,115,131_examination_proceed_invite_representative,"['examination', 'proceed', 'invite', 'representative', 'intended', 'shall', 'views', 'amendments', 'presented', 'rapporteur']","['We shall now proceed to the examination of Article 3, on which amendments have been tabled which are intended to be presented and on which I invite the rapporteur and the representative of the Government to give their views.', 'We shall now proceed to the examination of Article 4, on which amendments have been tabled which are intended to be presented and on which I invite the rapporteur and the representative of the Government to give their views.', 'We shall now proceed to the examination of Article 8, on which amendments have been tabled which are intended to be presented and on which I invite the rapporteur and the representative of the Government to give their views.']"
132,113,132_superbonus_110_bonuses_bonus,"['superbonus', '110', 'bonuses', 'bonus', 'credits', 'building', 'fraud', 'scams', 'credit', 'percent']","['With those checks in the superbonus 110% , there will be no fraud in the other building bonuses or even in the energy tax credits.', 'Mr President, these days there has been a great deal of talk, often out of the question, about the superbonus 110% .', ""I'm taking the superbonus example.""]"
133,113,133_permission_says_president_withauthority,"['permission', 'says', 'president', 'withauthority', 'page', '540', 'paragraph', 'presidents', 'by', 'english']","['Which says, by permission of the President:', 'And 1 1. says, with permission of the president:', 'That, by permission of the President, says:']"
134,112,134_wind_power_windmills_frame,"['wind', 'power', 'windmills', 'frame', 'energy', 'option', 'plant', 'use', 'activation', 'hydropower']","['That may be the major global change in green energy use, i.e. The wind generation or the wind power.', 'Above all, it would be the wind power at this point.', 'That is why there is a land of wind power, and that is why it should be the wind power in the last few years.']"
135,112,135_masks_mask_ffp2_obligation,"['masks', 'mask', 'ffp2', 'obligation', 'wear', 'indoors', 'devices', 'producers', 'schools', 'children']","['The answer is no; yet there is an obligation to mask, even if the mask does not exist.', 'In order to comply with the law and send children to school with the FFP2 mask, they buy small masks in the pharmacies, which do not fall into the category of FFP2, but act as protection in the same way.', 'We have the obligation of FFP2 mask for children, but the FFP2 mask for children does not exist.']"
136,111,136_marriage_divorce_married_wedding,"['marriage', 'divorce', 'married', 'wedding', 'businessman', 'legal', 'marital', 'separation', 'survey', 'mate']","['First, it is suggested that the time limit for divorce be the same whether he is demanding marriage or both.', 'In current marriage laws, there are narrow conditions for divorce without the exception of separation.', 'I hereby recommend a greater part of the General and Education Committee for the Committee to conduct a bill to correct a change in marriage law No. 31/1993 and bill include changes in various aspects of marriage law, changes in exceptions due to minimum age in order to form a marriage survey of divorce-separated legal history in divorce matters, as well as the application of projects from the Ministry to the county.']"
137,111,137_withdraw_amendment_amendments_withdrawal,"['withdraw', 'amendment', 'amendments', 'withdrawal', 'withdrawn', '1500', 'agenda', '102', 'opinion', 'nos']","['Mr President, I would ask you to withdraw all the amendments. Otherwise, the opinion will be against them.', 'Mr President, we withdraw the amendment and turn it into an agenda.', 'Mr President, I would like to withdraw the amendment and turn it into an agenda.']"
138,108,138_growth_unemployment_economic_rebound,"['growth', 'unemployment', 'economic', 'rebound', 'gdp', 'faster', 'cake', 'than', 'economy', 'expected']","['To achieve this goal, it is important that growth be less than the growth of land production over time.', 'Consider the case of economic growth.', 'It is well for us to see that there is growth.']"
139,107,139_animals_animal_veterinary_medicinal,"['animals', 'animal', 'veterinary', 'medicinal', 'welfare', 'disease', 'sentient', 'chicks', 'product', 'moral']","['The suffering of animals must not be a side effect of our consumption of meat; we must do something and above all we must ban the export of animals to countries where a minimum of protection for their health and well-being is not respected.', 'We need a clear rule of action to ensure the well-being of animals.', ""If we look at the situation in general, we are not just talking about the welfare of animals-we may not be able to say that when we're talking about the welfare of animals, we can't say it that way.""]"
140,105,140_hours_rest_stress_shift,"['hours', 'rest', 'stress', 'shift', '48', 'shifts', 'work', '11', '24', 'user']","['Then you may have 14 hours at rest instead of being given the usual schedule of shift work or the usual work hours requirement, you should have 22 hours, 11 hours of rest a day.', 'Changes are now being made in ways that allow work time to last continuously for up to 48 hours, with certain requirements being met, are spoken of as 7 hours of rest during the night hours, not 11 hours, and not in 24 hours, but in 48 hours.', 'During those two days or 48 hours, there would be 7 hours in the rest of the day and 7 hours in the rest of the day, not really every 24 hours, 11 hours, and 11 hours.']"
141,104,141_contracting_procurement_stations_contracts,"['contracting', 'procurement', 'stations', 'contracts', 'code', 'procedures', 'simplification', 'qualification', 'works', 'public']","['An explicit reference to the acceleration of the procedures was added to the governing criterion for the simplification of the procedures for the payment of the contract by the contracting stations, introduced in the text during the examination of the Senate.', 'That is why we must pay the greatest attention, including from the point of view of the qualification and reduction of contracting stations.', 'As regards the qualification of contracting stations, a reference has been inserted to the monitoring of the aggregation and reorganisation of contracting stations and the forecast of specific training courses, with particular reference to the single contracting stations and the purchasing power stations operating at the service of local authorities.']"
142,104,142_responsibility_responsible_responsibilities_blame,"['responsibility', 'responsible', 'responsibilities', 'blame', 'irresponsibility', 'shoulder', 'someone', 'fault', 'ethical', 'take']","['Take responsibility for the situation.', 'Of course, we do not have one responsibility.', ""There's no responsibility here, no responsibility.""]"
143,102,143_protesters_demonstrations_police_protests,"['protesters', 'demonstrations', 'police', 'protests', 'demonstrators', 'protest', 'square', 'covid', 'procession', 'student']","['Moreover, they were not great demonstrations, so it could be said that there were a million people in the square and it was difficult to manage them.', 'The action did not, however, have the result of dispersing the protesters, who continued to press on the deployment of public security for another two hours, during which sudden movements of organized groups of protesters followed, accompanied by the launch of stones and glass bottles, to which additional interventions by the police were paid.', 'Mrs. Minister, I have some experience of demonstrations, as you know, and protesters generally have a certain ability to manage them, they can dialogue and they can ask if they want to make a piece of procession.']"
144,100,144_data_personal_information_storage,"['data', 'personal', 'information', 'storage', 'communications', 'sensitive', 'stored', 'user', 'criminal', 'processing']","['This is sensitive personal information and we are talking about very detailed information.', 'It is very much personal information and surely the most personal information available to you.', ""89st. deals with what has been called data storage, which is the fact that a communications company has data on the user's communications trip.""]"
145,99,145_violence_abuse_sexual_domestic,"['violence', 'abuse', 'sexual', 'domestic', 'stress', 'child', 'children', 'victims', 'reports', 'violent']","['I think it is important that there is more talk about violence, more detailed and more specific plans for dealing with domestic violence, child abuse, domestic violence.', 'This is a very important matter, though, and especially in the discussion that society is having with regard to domestic violence, sexual abuse.', 'We know, and we have now seen in particular the growth of both domestic violence and sexual abuse.']"
146,99,146_registered_speak_senator_modena,"['registered', 'speak', 'senator', 'modena', 'bonino', 'castellone', 'mura', 'gallone', 'fattori', 'papatheu']","['Senator Modena is registered to speak.', 'Senator Modena is registered to speak.', 'Senator Modena is registered to speak.']"
147,98,147_eur_euros_allocated_billion,"['eur', 'euros', 'allocated', 'billion', 'million', '2022', 'decree', 'covid', 'pnrr', 'fund']","['We have already received EUR 45.9 billion from the European Commission, to which will be added in the coming weeks a further EUR 21 billion, a total of almost EUR 67 billion.', 'This year we have allocated, for the year 2022, EUR 9 million, which we are sharing again.', 'This is a package of measures for which EUR 15 billion has been allocated, plus an additional EUR 2 billion for long-term interventions.']"
148,97,148_emergency_emergencies_exceptional_911,"['emergency', 'emergencies', 'exceptional', '911', 'valuables', 'accidents', 'temporarily', 'sake', 'urgent', 'circumstances']","['Of course, there is an emergency when such measures need to be taken.', 'This is an emergency situation and this can only be an extraordinary emergency intervention.', 'Of course, it is always an emergency. It will always be an emergency.']"
149,96,149_italy_ukrainian_ukraine_italian,"['italy', 'ukrainian', 'ukraine', 'italian', 'zelensky', 'support', 'russia', 'kiev', 'integrity', 'russian']","['Italy will continue to support the Ukrainian Government in its efforts to reject the Russian invasion; we will do so in close coordination with our European partners.', 'I want to express, once again, the solidarity of the Italian people and government with the Ukrainian people and with President Zelensky.', 'Because in Ukraine we are fighting for freedom throughout Europe, because Russia would not want to stop the Ukrainian invasion, but then to continue in the countries of Western Europe and therefore Ukraine is resisting for us, also for our freedom, there is an Italian obligation to send weapons to the Ukrainian resistance and the need to raise arms expenditure to 2% .']"
150,95,150_visitors_guests_discussed_received,"['visitors', 'guests', 'discussed', 'received', 'committee', 'reviews', 'contacted', 'meeting', 'matter', 'visitor']","['The committee discussed the matter and came to a meeting of guests and received reviews.', 'The committee discussed the matter and came to a meeting of guests and received reviews.', 'The committee has discussed the matter and has been contacted by visitors and received reviews in the front committee.']"
151,95,151_investment_investments_invest_investing,"['investment', 'investments', 'invest', 'investing', 'hedge', 'funds', 'adviser', 'campaign', 'money', 'investors']","[""What's their investment policy?"", 'It is a national financial investment.', 'In what other way is the investment?']"
152,92,152_trust_broken_rebuild_glue,"['trust', 'broken', 'rebuild', 'glue', 'collapse', 'build', 'placed', 'wound', 'heal', 'distrust']","['Much is said about trust in the community in these days or about the lack of trust.', 'You see, the people need trust.', 'Of course, we need to trust the basis for that trust.']"
153,91,153_resumed_suspended_sitting_12,"['resumed', 'suspended', 'sitting', '12', 'at', '11', '16', '04', '01', '10']","['( The sitting was suspended at 7.20 p.m. and resumed at 9 p.m.)', '( The sitting was suspended at 4.10 p.m. and resumed at 6 p.m.)', '( The sitting was suspended at 3 p.m. and resumed at 4 p.m.)']"
154,90,154_insurance_companies_company_pencils,"['insurance', 'companies', 'company', 'pencils', 'ivass', 'heirs', 'agency', 'protection', 'interaction', 'optional']","[""That's where health insurance has been done."", ""But what's in the insurance policy, what insurance, what's the extra insurance making by putting it all together?"", 'But we have an insurance system.']"
155,89,155_goals_ambitious_reach_goal,"['goals', 'ambitious', 'reach', 'goal', 'ambition', 'set', 'lofty', 'se', 'achieve', 'achieved']","['Then, too, let us remember the goals set out in the sale and where we are in relation to our goals.', 'We have high goals, and it is important that we reach them.', 'It is important that we reach our goals.']"
156,88,156_reform_reforms_stress_majority,"['reform', 'reforms', 'stress', 'majority', 'competition', 'corrections', 'satisfy', 'opposite', 'everyone', 'constitutional']","['I believe that no one in the so-called majority, and even less among the opposition parliamentarians, is satisfied with the reforms we have had so far-and I am thinking of the so-called reform of competition, the tax reform that is not even moving, this reform of the procurement code and public contracts-because they are not reforms.', 'That is why this is a necessary reform.', 'There are very important measures in this reform.']"
157,88,157_agenda_g1_favour_mr,"['agenda', 'g1', 'favour', 'mr', 'agendas', 'favourable', '102', 'opinion', 'g4', 'g7']","['Mr President, on the agenda G1.102( text 2) the Government is in favour of considering the possibility of', 'Mr President, the opinion on the agenda is in favour.', 'On the agenda, the opinion was opposed to the agenda for Mr G1.1, while it was in favour of the agenda for Mr G1.100 and Mr G1.5.']"
158,87,158_reminds_minute_speakers_speech,"['reminds', 'minute', 'speakers', 'speech', 'period', 'limited', 'president', 'speaking', 'speaker', 'minutes']","[""The president still reminds us that in the case of President's conference board, each speaker has only one minute, not a minute and a half."", 'The president reminds us that speech time is one minute in answer.', 'The President reminds us of the two-minute talk period.']"
159,86,159_nurses_hospital_stress_doctors,"['nurses', 'hospital', 'stress', 'doctors', 'nursing', 'graduation', 'medical', 'educated', 'professionals', 'number']","['That even says it. to set the number of nurses in each area.', 'In 2020, a number of active nurses in 2020 were expected to need some 3,400,4,000 nurses.', 'The health system would not be run without nurses.']"
160,86,160_insurance_hospital_health_iceland,"['insurance', 'hospital', 'health', 'iceland', 'care', 'medical', 'icelandic', 'disease', 'service', 'clinical']","['When we discuss Icelandic health care, most of the discussion seems to be going to a third degree of service and preferably at a Land Hospital ◯ university hospital.', ""Of course, that person could be Iceland's Medical Insurance."", ""I'd like to also get into medical care outside the hospital because financial programs show that there are no more than 2% per year in actual financial support for Iceland's health insurance.""]"
161,86,161_enlisted_speak_he_senator,"['enlisted', 'speak', 'he', 'senator', 'crucioli', 'perosino', 'mirabelli', 'beginini', 'coltorti', 'cangini']","[""He's enlisted to speak Senator Crucioli."", ""He's enlisted to speak Senator Crucioli."", ""He's enlisted to speak Senator Crucioli.""]"
162,85,162_permit_employment_job_patent,"['permit', 'employment', 'job', 'patent', 'temporary', 'license', 'permits', 'grounds', 'licenses', 'basis']","['A similar source is found in Article 9. a current legislation on the employment rights of foreigners but a temporary employment permit on the basis of that law gives lower rights to the country but temporary employment permit on the basis of Article 8. The law.', 'They need to find someone who is in charge without a job permit and trust that they will get the job permit and be prepared to wait for the job permit to be released.', 'Therefore, what a person needs to do when he has a living permit, has a social security number, is that he needs to find a job, he must find an employer who is prepared to hire him without having a work permit-he has a social security number and no job permit-and wait for up to three months after the application for a job permit.']"
163,84,163_colleagues_silence_voice_volume,"['colleagues', 'silence', 'voice', 'volume', 'colleague', 'your', 'lower', 'silent', 'please', 'tone']","['You see, colleagues, that if we want to...', 'Colleagues, I ask you to lower the volume of your voice very much, if not even to speak.', 'All of us, colleagues and colleagues, have it.']"
164,83,164_challenges_challenge_challenging_face,"['challenges', 'challenge', 'challenging', 'face', 'ahead', 'opportunities', 'huge', 'difficult', 'tools', 'obstacles']","['But we now face new challenges.', 'We must then be clear about the challenges.', 'This will be one of the challenges we face.']"
165,83,165_enlisted_speak_senator_arrigoni,"['enlisted', 'speak', 'senator', 'arrigoni', 'gasparri', 'mallegni', 'nencini', 'bergesio', 'errani', 'alfieri']","['Senator Nencini is enlisted to speak.', 'Senator Nencini is enlisted to speak.', 'Senator Nencini is enlisted to speak.']"
166,83,166_rules_rule_regulations_purpose,"['rules', 'rule', 'regulations', 'purpose', 'guidelines', 'apply', 'minimize', 'set', 'layouts', 'tracers']","[""Really, I like to think about what it is, and it's a rule."", 'There are very clear rules about that.', 'That would be such a good rule.']"
167,83,167_nigeria_africa_niger_city,"['nigeria', 'africa', 'niger', 'city', 'lagos', 'cities', 'poorest', 'population', 'london', 'blantyre']","['However, if the United Nations and the World City Institute, known as Global Cities Institute, are known to be in foreign lands, much more of the present-day Icelanders will experience that there are more people living in one city in Nigeria, Lagos, than in all Germany.', 'North of Nigeria is the land of Niger.', 'One of the countries in Africa alone is Nigeria, one of the most trust-seeking people.']"
168,83,168_session_agenda_meet_following,"['session', 'agenda', 'meet', 'following', 'tomorrow', '30', 'wednesday', 'tuesday', 'again', 'senate']","['The Senate will meet again in public session tomorrow, Wednesday 11 May, at 9.30 a.m., with the following agenda:', 'The Senate will meet again in public session tomorrow, Wednesday 9 February, at 9.30 a.m., with the following agenda:', 'The Senate will meet again in public session tomorrow, Wednesday, March 30, at 9.30 a.m., with the following agenda:']"
169,83,169_help_spoon_knife_compassion,"['help', 'spoon', 'knife', 'compassion', 'spoons', 'people', 'knives', 'disease', 'individuals', 'who']","['The fact that people have a knife and a spoon in Iceland today is just not acceptable.', ""These people really don't have a knife and spoon."", 'These are the people we can help.']"
170,83,170_women_men_gender_sexes,"['women', 'men', 'gender', 'sexes', 'innovation', 'sex', 'differences', 'variable', 'sector', 'less']","['Thanks to this evolution, women( not because of women, but as subjects other than men) have been able to make their contribution during all these years.', 'Today, men are far more populous than women, but in general women are considered more likely to be part-time workers than men.', 'Women have less money than men.']"
171,82,171_81_5th_contrary_roll,"['81', '5th', 'contrary', 'roll', 'requested', 'gave', 'constitution', 'tabled', 'simultaneous', 'refer']","['Having been requested, I would like to refer to the roll-call vote by simultaneous ballot of amendment 4.6, tabled by Senator Maffoni and other senators, on which the 5th Commission gave an opinion contrary to Article 81 of the Constitution.', 'Having been requested, I would like to refer to the roll-call vote by simultaneous ballot of amendment 6.0.3 tabled by Senator Maffoni and other senators, on which the 5th Commission gave an opinion contrary to Article 81 of the Constitution.', 'Having been requested, I would like to refer to the roll-call vote by simultaneous ballot of amendment 4.5, tabled by Senator Maffoni and other senators, on which the 5th Commission gave an opinion contrary to Article 81 of the Constitution.']"
172,82,172_parma_regio_teatro_verdi,"['parma', 'regio', 'teatro', 'verdi', 'theatre', 'monument', 'di', 'architectural', 'artistic', 'opera']","['Among the places that most represent the city of Parma is certainly the Teatro Regio, of which today, with this provision, we ask for the recognition of a national monument.', 'To recognize today with this provision the Teatro Regio di Parma as a national monument is very important, because Parma is not only a city of great and extraordinary beauty, but has a cultural and musical tradition all its own, very particular.', 'In the Teatro Regio di Parma there are many important facts in the Italian culture.']"
173,81,173_agree_senator_completely_what,"['agree', 'senator', 'completely', 'what', 'with', 'says', 'totally', 'senators', 'internet', 'southbound']","[""I agree with what. That's what a senator does."", 'I agree with the senator on this matter.', 'But I agree with what. Senator.']"
174,80,174_better_do_we_need,"['better', 'do', 'we', 'need', 'much', 'wanderers', 'really', 'done', 'doing', 'think']","['We have to do better than that.', 'I think we can do much better there.', 'We can do this better, and we should be able to do better, and we should do better.']"
175,80,175_roll_tabled_simultaneous_call,"['roll', 'tabled', 'simultaneous', 'call', 'refer', 'amendment', 'ballot', 'granato', 'senators', 'vote']","['I would like to refer to the roll-call vote by simultaneous ballot of amendment 1.2 tabled by Senator Granato and other senators.', 'I would like to refer to the roll-call vote by simultaneous ballot of amendment 2.4, tabled by Senator Granato and other senators.', 'I would like to refer to the roll-call vote by simultaneous ballot of amendment 1.7, tabled by Senator Granato and other senators.']"
176,80,176_cinemas_cinema_platforms_films,"['cinemas', 'cinema', 'platforms', 'films', 'film', 'rooms', 'movie', 'windows', 'aggregation', 'cultural']","['They are men who deal with cinema, but also with television and cinema on television, but who have defended the cinemas.', 'Similarly, we have a duty to recognize that there can never be a cinema without cinemas.', ""Cinema and cinemas must return to what they were when we were kids: places where we went together, we discussed; there were artist's cinemas and film festivals and there was also a fact of cultural growth around the cinema, which is fundamental for our neighborhoods.""]"
177,79,177_francis_assisi_st_saint,"['francis', 'assisi', 'st', 'saint', 'umbria', 'pope', 'patron', 'religions', 'figure', 'franciscan']","['I do this because, in just a few minutes, we will discuss in this same Chamber the figure of St. Francis of Assisi.', 'St. Francis, as well as the patron saint of Italy, as well as being Assisi and representing all the values that I have already heard in part mention in this Chamber, is Umbria: we must not forget that St. Francis had great importance in Assisi first of all, but also throughout our region.', 'Assisi, in a particular way, is St. Francis; Umbria is St. Francis, but also Italy.']"
178,79,178_solidarity_mediation_cohesion_together,"['solidarity', 'mediation', 'cohesion', 'together', 'citizens', 'social', 'common', 'identity', 'country', 'socialism']","['So, Mr Draghi, let us remember-because it is very important for us-that social cohesion is the value we need to look more closely at now.', 'Mr President, never before-and I hope it is clear to everyone-is it necessary to strengthen social cohesion, precisely in order to regain that sense of trust in the institutions that is the basis of the necessary sharing so that all citizens can contribute to that social project that must restart the country after the pandemic.', 'This is an important element and is the result of mediation.']"
179,79,179_council_office_president_adjective,"['council', 'office', 'president', 'adjective', 'members', 'mr', 'advisers', 'responsibility', 'he', 'asks']","['Mr President, Mr President-in-Office of the Council, Members of the Government, ladies and gentlemen, we are not in an ordinary legislature.', ""I'd like to come up here in the context that the president of the council is the president of all the council, and surely we see it often happens here in a Senate hall that a president takes over his tools and shows his power when members of the council, even members of the council, have gone too far."", 'As President-in-Office of the Council, you know that much better than I do.']"
180,77,180_commission_stress_constructive_agreement,"['commission', 'stress', 'constructive', 'agreement', 'convergence', 'work', 'rapporteurs', 'members', 'majority', 'council']","['It is pleased that this time it is a Senate Commission that understands its importance and submits to the House a document that gathers the will of all political forces, no one excluded, to put an embankment not only ideological, but also scientific to this absolute nonsense of the streetlight label that someone would like to pass as a scientific.', 'In the meantime, I would like to stress the commitment that the Commissions I and V, meeting in the Chamber, have expressed in concluding such a broad and cross-cutting measure.', 'So there has been-and I stress this-a constructive climate in the Commissions both in the House and in the Senate around this important, fundamental provision.']"
181,77,181_cost_expensive_costs_gonna,"['cost', 'expensive', 'costs', 'gonna', 'costly', 'money', 'secondary', 'fortune', 'calculate', 'lot']","[""It's gonna cost this, and it's gonna cost a lot."", 'Of course, we know that this will cost our money.', 'Of course, all of this has cost.']"
182,77,182_frame_plan_stage_fourth,"['frame', 'plan', 'stage', 'fourth', 'nine', '2013', 'framework', 'phase', '3rd', 'complete']","['I think this frame here is good, I see this as a frame, this is a policy, and in our plan we need to stay within this frame.', 'We have even. See it in a frame plan.', 'But what is a frame plan about?']"
183,76,183_closed_sitting_agenda_see,"['closed', 'sitting', 'agenda', 'see', '16', '18', 'closing', '06', 'at', 'was']","['( See agenda) The sitting was closed at 5.50 p.m.', '( See agenda) The sitting was closed at 5.11 p.m.', '( See agenda) The sitting was closed at 6 p.m.']"
184,76,184_organic_farming_fork_farm,"['organic', 'farming', 'fork', 'farm', 'production', 'agriculture', 'strategy', 'biodiversity', 'food', 'agrienvironment']","['We certainly support the well-being of organic crops and organic products in this country.', 'Organic farming is the practice that needs to be further developed so that 25% of the total agricultural land is dedicated to organic farming by 2030.', ""It's important to consumers that you can not just say: it's organic, it's organic, it's organic, it's something that's behind it.""]"
185,76,185_mafia_foggia_anti_mafias,"['mafia', 'foggia', 'anti', 'mafias', 'province', 'illicit', 'infiltration', 'infiltrations', 'crime', 'san']","['The province of Foggia is in an extremely difficult situation, as the national anti-mafia prosecutor says all the time: the current prosecutor and his predecessor, who spoke of an emerging situation at national level, say so.', ""We need to review the situation and I want to report the words of the National Anti-Mafia Attorney, who is the main exponent of the fight against mafias in our country, Dr. Cafiero De Raho, who on more than one occasion spoke of Foggia's mafia situation as a national emergency."", 'We also ask that the pool of judges of the competent anti-mafia district management, which deals with the mafia events of the province of Foggia, be transferred to Foggia precisely to improve its action and to ensure that the law enforcement activity it is carrying out is of even greater quality.']"
186,75,186_rapporteur_call_senator_alfonso,"['rapporteur', 'call', 'senator', 'alfonso', 'boldrini', 'ripamonti', 'calderoli', 'cioffi', 'cangini', 'faggi']","[""I therefore call the rapporteur, Senator D'Alfonso."", ""I therefore call the rapporteur, Senator D'Alfonso."", ""I therefore call the rapporteur, Senator D'Alfonso.""]"
187,75,187_documents_forwarded_questions_34,"['documents', 'forwarded', 'questions', '34', 'motions', 'sentence', 'pursuant', 'standing', 'presidency', 'published']","[""The motions, questions and questions received by the Presidency, as well as the documents and documents forwarded to the standing committees pursuant to Rule 34( 1) , second sentence, of the Rules of Procedure shall be published in Annex B to the Minutes of today's sitting."", ""The motions, questions and questions received by the Presidency, as well as the documents and documents forwarded to the standing committees pursuant to Rule 34( 1) , second sentence, of the Rules of Procedure shall be published in Annex B to the Minutes of today's sitting."", ""The motions, questions and questions received by the Presidency, as well as the documents and documents forwarded to the standing committees pursuant to Rule 34( 1) , second sentence, of the Rules of Procedure shall be published in Annex B to the Minutes of today's sitting.""]"
188,75,188_presidency_authorizes_authorise_note,"['presidency', 'authorizes', 'authorise', 'note', 'takes', 'accordingly', 'authorises', 'shall', 'forum', 'do']","['The Presidency takes note of this.', 'The Presidency takes note of this.', 'The Presidency takes note of this.']"
189,74,189_uncertainty_solutions_solved_solution,"['uncertainty', 'solutions', 'solved', 'solution', 'problem', 'solve', 'fixed', 'programming', 'muse', 'expansions']","[""I feel that there's some uncertainty in between."", ""There's uncertainty in other areas."", ""I don't know when it's like there's a lot of uncertainty.""]"
190,74,190_absent_assignment_communications_leave,"['absent', 'assignment', 'communications', 'leave', 'published', 'minutes', 'list', 'received', 'assembly', 'annex']","[""The list of senators on leave and absent on assignment received from the Senate, as well as further communications to the Assembly, will be published in Annex B to today's Minutes."", ""The list of senators on leave and absent on assignment received from the Senate, as well as further communications to the Assembly, will be published in Annex B to today's Minutes."", ""The list of senators on leave and absent on assignment received from the Senate, as well as further communications to the Assembly, will be published in Annex B to today's Minutes.""]"
191,74,191_pass_green_super_strengthened,"['pass', 'green', 'super', 'strengthened', 'vaccination', 'passes', 'obligation', 'covid', 'safe', 'infected']","[""All this because he doesn't have the super green pass."", ""It's the first decree on the super green pass."", 'If we are not in emergency, why keep the super green pass, green pass and more?']"
192,74,192_billion_millions_100_hundreds,"['billion', 'millions', '100', 'hundreds', '501', 'year', 'total', 'million', '200', '20']","['The year before, it was 5 billion.', 'There are 9 billion of these last year.', 'The situation is that this 1,000 billion, or 1 billion.']"
193,73,193_abstain_against_abstention_vote,"['abstain', 'against', 'abstention', 'vote', 'reasons', 'abstaining', 'uguali', 'voting', 'declare', 'favour']","['So we, for this reason and for many other reasons that I do not have time to explain, will not vote in favour and will vote against the question of confidence in this measure.', ""This adjustment thanks to my Group's proposals means that I do not vote against it, but I will abstain, because there are so many good measures, but there is one that does not allow me to vote in favour."", ""For these reasons, I declare my Group's abstention vote.""]"
194,73,194_companies_company_epidemic_covid,"['companies', 'company', 'epidemic', 'covid', 'business', 'nvidia', 'companys', 'shut', 'flourish', 'smaller']","[""I'm talking about a small and medium-sized company, a company run by families in the country, a company where people are usually in personal obligations for debts and businesses in general, people who are losing their food."", ""There's good response to companies that have gone bad out of the Covid epidemic but, of course, they don't apply to companies that use tax belts and societies."", 'Do we not have to look at these companies in some way?']"
195,73,195_approve_annex_doesn_followed,"['approve', 'annex', 'doesn', 'followed', 'senate', 'see', 'vote', 'was', 'the', '']","[""( The vote was followed) . The Senate doesn't approve. ( See Annex B) ."", ""( The vote was followed) . The Senate doesn't approve. ( See Annex B) ."", ""( The vote was followed) . The Senate doesn't approve. ( See Annex B) .""]"
196,73,196_matteotti_giacomo_socialist_1924,"['matteotti', 'giacomo', 'socialist', '1924', 'freedom', 'fascism', 'politician', 'death', 'amendola', 'anniversary']","['The six articles of the bill for the celebrations of the hundredth anniversary of the death of Giacomo Matteotti are therefore a necessary tribute not only to the personal values that Matteotti paid dearly with the most precious good, life, but also to the values of freedom of thought and expression.', 'Mr President, bill No 2317, celebrating the 100th anniversary of the death of Giacomo Matteotti, intends to commemorate and celebrate, a hundred years after his abduction and murder, the figure and thought of Giacomo Matteotti, the socialist deputy victim of fascist violence.', 'The example that Giacomo Matteotti left to the next generations was very powerful.']"
197,72,197_corruption_bribes_bribe_bribery,"['corruption', 'bribes', 'bribe', 'bribery', 'offenses', 'oecd', 'corrupt', 'anti', 'ability', 'violation']","['However, corruption is not always so obvious.', 'My experience is that when something looks like corruption that smells like corruption, it is most likely to be corruption.', ""It's just one form of corruption.""]"
198,72,198_way_supposed_happens_happening,"['way', 'supposed', 'happens', 'happening', 'happen', 'doesn', 'maybe', 'exactly', 'just', 'opposite']","[""That's the way it's supposed to be."", ""That's the way it's supposed to be."", ""It's not the way this is supposed to be.""]"
199,72,199_plan_plans_operation_fashioned,"['plan', 'plans', 'operation', 'fashioned', 'decomposition', 'beautiful', 'programming', 'old', 'planning', 'ten']","[""But at the same time, there's a plan like this."", 'What I want to say is that we have a plan.', 'Has there been a plan for that?']"
200,72,200_accepted_agenda_g9_having,"['accepted', 'agenda', 'g9', 'having', 'agendas', 'put', 'g1', 'text', 'vote', 'g8']","['Having been accepted by the Government, the G1.1 agenda will not be put to the vote.', 'Having been accepted by the Government, the G9.1 agenda will not be put to the vote.', 'Having been accepted by the Government, the agenda will not be put to the vote.']"
201,71,201_money_funds_spent_guns,"['money', 'funds', 'spent', 'guns', 'funding', 'used', 'sums', 'throwing', 'fund', 'amount']","['Where are you gonna take the money?', ""Where that money comes from, I don't know."", 'How can we make more use of this money?']"
202,70,202_romana_maria_gasperi_de,"['romana', 'maria', 'gasperi', 'de', 'alcide', 'graziella', 'father', 'her', 'she', 'trentino']","['Therefore, if you like, I will give you the next word, when a moment will be dedicated to the memory of Maria Romana De Gasperi.', 'When we think of Maria Romana De Gasperi we refer to a figure far from secondary in the history of our democracy.', 'Colleagues, as you know, Maria Romana De Gasperi has failed.']"
